threshold,cluster,doy,cum_pct
0.8,Group 5,149,
0.8,Group 5,152,0.15851946828191457
0.8,Group 5,155,0.9286329425910637
0.8,Group 5,158,2.0836036854296145
0.8,Group 5,161,5.8072623673913455
0.8,Group 5,164,11.211637799125159
0.8,Group 5,167,15.383191892284477
0.8,Group 5,170,22.437967483487146
0.8,Group 5,173,36.11809523519177
0.8,Group 5,176,48.994525692542474
0.8,Group 5,179,64.0786152998785
0.8,Group 5,182,76.72673125924176
0.8,Group 5,185,82.90944994172271
0.8,Group 5,188,87.42926742431037
0.8,Group 5,191,91.64679114950873
0.8,Group 5,194,95.06683548336167
0.8,Group 5,197,98.03289240017439
0.8,Group 5,200,99.78090840809574
0.8,Group 5,203,100.0
0.8,Group 6,149,
0.8,Group 6,152,0.18937124215565995
0.8,Group 6,155,0.7851420154849525
0.8,Group 6,158,1.467839625403018
0.8,Group 6,161,5.047047107174033
0.8,Group 6,164,9.538446975565222
0.8,Group 6,167,13.747718330088565
0.8,Group 6,170,20.46784945275942
0.8,Group 6,173,33.15854335615087
0.8,Group 6,176,44.304983383886075
0.8,Group 6,179,59.25689850369785
0.8,Group 6,182,72.06595231130973
0.8,Group 6,185,79.27294636643036
0.8,Group 6,188,85.09314463830184
0.8,Group 6,191,90.41355184437101
0.8,Group 6,194,94.38503538204525
0.8,Group 6,197,97.21537308665103
0.8,Group 6,200,99.49548244082261
0.8,Group 6,203,100.0
0.9,Group 1,149,
0.9,Group 1,152,1.020882019178423
0.9,Group 1,155,1.8565602037907358
0.9,Group 1,158,5.125522819864313
0.9,Group 1,161,18.811198217087775
0.9,Group 1,164,33.12235661434881
0.9,Group 1,167,46.985599629847805
0.9,Group 1,170,55.11387938427179
0.9,Group 1,173,66.21473186331967
0.9,Group 1,176,73.51227077099392
0.9,Group 1,179,82.09230904698691
0.9,Group 1,182,89.19988975247763
0.9,Group 1,185,92.23906384398606
0.9,Group 1,188,94.33726938460921
0.9,Group 1,191,96.08219511682557
0.9,Group 1,194,97.90622359443546
0.9,Group 1,197,99.00213114786528
0.9,Group 1,200,99.8828281514297
0.9,Group 1,203,100.0
0.9,Group 2,149,
0.9,Group 2,152,0.7568716293940091
0.9,Group 2,155,1.9111468804559597
0.9,Group 2,158,6.4991349886289145
0.9,Group 2,161,15.806519405222238
0.9,Group 2,164,25.460966848095314
0.9,Group 2,167,36.381172828343665
0.9,Group 2,170,44.904328307362356
0.9,Group 2,173,57.316670223103905
0.9,Group 2,176,70.39965978349694
0.9,Group 2,179,79.67071431068011
0.9,Group 2,182,86.77777651272059
0.9,Group 2,185,90.95153656005476
0.9,Group 2,188,93.38118308381985
0.9,Group 2,191,96.44852852197187
0.9,Group 2,194,98.42288796471506
0.9,Group 2,197,99.32169777734907
0.9,Group 2,200,99.72663270130339
0.9,Group 2,203,100.0
0.9,Group 3,149,
0.9,Group 3,152,0.1877389482940726
0.9,Group 3,155,0.9497517557675532
0.9,Group 3,158,2.4751223048241457
0.9,Group 3,161,5.931163847180137
0.9,Group 3,164,10.957467879672848
0.9,Group 3,167,16.205274307258275
0.9,Group 3,170,23.60126284752273
0.9,Group 3,173,34.91161704783412
0.9,Group 3,176,48.42636212847861
0.9,Group 3,179,63.724098889571245
0.9,Group 3,182,76.0120593091366
0.9,Group 3,185,81.8731961943128
0.9,Group 3,188,86.89777262109983
0.9,Group 3,191,91.72317922372228
0.9,Group 3,194,95.63374586250823
0.9,Group 3,197,97.9722870022016
0.9,Group 3,200,99.69408757964419
0.9,Group 3,203,100.0
0.9,Group 4,149,
0.9,Group 4,152,0.36579682416521364
0.9,Group 4,155,0.9191413452144437
0.9,Group 4,158,2.000474987458268
0.9,Group 4,161,4.179381511670969
0.9,Group 4,164,8.272599890712435
0.9,Group 4,167,12.948267298722556
0.9,Group 4,170,22.085892470229243
0.9,Group 4,173,32.57380090989824
0.9,Group 4,176,49.76841914781799
0.9,Group 4,179,64.98529678496992
0.9,Group 4,182,76.07861878749232
0.9,Group 4,185,81.5498609471078
0.9,Group 4,188,86.52313337265055
0.9,Group 4,191,91.19907792257094
0.9,Group 4,194,95.58125157928811
0.9,Group 4,197,98.44235447545843
0.9,Group 4,200,99.93682513475032
0.9,Group 4,203,100.0
0.9,Group 5,149,
0.9,Group 5,152,0.14497567386117957
0.9,Group 5,155,0.8710136539460933
0.9,Group 5,158,2.1570693997460695
0.9,Group 5,161,5.924307552170002
0.9,Group 5,164,11.44265400345362
0.9,Group 5,167,15.920803459492577
0.9,Group 5,170,23.046162654933394
0.9,Group 5,173,36.33653323876943
0.9,Group 5,176,49.2706206788574
0.9,Group 5,179,64.17822276919627
0.9,Group 5,182,76.78494434641907
0.9,Group 5,185,83.13820245957596
0.9,Group 5,188,87.62298472894993
0.9,Group 5,191,91.89000405380021
0.9,Group 5,194,95.20700492685391
0.9,Group 5,197,98.05480019692097
0.9,Group 5,200,99.80802381390974
0.9,Group 5,203,100.0
0.9,Group 6,149,
0.9,Group 6,152,0.1851295217631841
0.9,Group 6,155,0.795975809178743
0.9,Group 6,158,1.340227484367685
0.9,Group 6,161,4.962855696152682
0.9,Group 6,164,9.191446072806835
0.9,Group 6,167,13.742921398451271
0.9,Group 6,170,20.501595597649043
0.9,Group 6,173,32.901490392742865
0.9,Group 6,176,44.14586307885684
0.9,Group 6,179,58.82801784461581
0.9,Group 6,182,71.54090257657514
0.9,Group 6,185,79.27434249563616
0.9,Group 6,188,85.1392086378959
0.9,Group 6,191,90.5134963477496
0.9,Group 6,194,94.40731939859661
0.9,Group 6,197,97.18610313885792
0.9,Group 6,200,99.48492207252472
0.9,Group 6,203,100.0
